epoch,train_loss,val_loss,train_acc,val_acc,top_k_acc
1,2.1498337259532665,0.9008804158455341,0.5041329600811162,0.8316364758252898,0.989598483846798
2,0.8404425694150128,0.5446460450687027,0.8187449026825666,0.9003481863458064,0.9980166600555335
3,0.5588126868744656,0.6152940020296834,0.8938435426631692,0.8552161840539468,0.994490722376482
4,0.44130161586378425,0.36796962269406785,0.927877091277801,0.9443783331129623,0.9989862929172727
5,0.38177575333810515,0.36224122586017654,0.94531267220667,0.9460972277314998,0.9994711093481423
6,0.35146114426770997,0.2657013581722135,0.9530716159322856,0.9853232844109481,0.9999118515580238
7,0.31671644136127985,0.315390842432012,0.9642471399916238,0.9496231654105514,1.0
8,0.2983466257290562,0.2381842270013418,0.9671347014349637,0.9910529331394068,1.0
9,0.27472485852088585,0.2669110541793909,0.9751581546057707,0.9708228657058486,0.9999118515580238
10,0.26313368092333816,0.22655860290533544,0.9786849472083232,0.9877914407862841,1.0
11,0.24911287340038518,0.22961828619487343,0.9821676549033438,0.9836043897924104,1.0
12,0.2434580869895354,0.2401310599540108,0.9831154804152799,0.9848384679800785,0.9999118515580238
